timestamp,window_idx,anomaly_score,severity,top_loop,attack_type,lstm_score,transformer_score,iso_score,top_sensor_1,top_sensor_2,top_sensor_3
2022-08-12 16:02:31,90,0.1427,LOW,P3-LC,CV_injection_with_PV_spoofing,0.1556,0.092,0.1863,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:02:45,104,0.1439,LOW,P3-LC,CV_injection_with_PV_spoofing,0.158,0.092,0.1863,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:02:50,109,0.1436,LOW,P3-LC,CV_injection_with_PV_spoofing,0.1572,0.0917,0.1876,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:02:52,111,0.1437,LOW,P3-LC,CV_injection_with_PV_spoofing,0.1565,0.0914,0.1901,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:02:54,113,0.1457,LOW,P3-LC,CV_injection_with_PV_spoofing,0.1557,0.0905,0.2035,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:02:57,116,0.1453,LOW,P3-LC,CV_injection_with_PV_spoofing,0.1539,0.0904,0.2059,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:02:58,117,0.1462,LOW,P3-LC,CV_injection_with_PV_spoofing,0.1535,0.0903,0.2117,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:03:34,153,0.1438,LOW,P1-CC,SP_manipulation_with_PV_spoofing,0.1547,0.0874,0.2012,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:36,155,0.1501,LOW,P1-CC,SP_manipulation_with_PV_spoofing,0.1557,0.0876,0.2299,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:37,156,0.1482,LOW,P1-CC,compound_attack,0.1563,0.0875,0.2189,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:38,157,0.1476,LOW,P1-CC,compound_attack,0.1572,0.0874,0.214,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:39,158,0.1514,LOW,P1-CC,compound_attack,0.1586,0.0874,0.2297,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:40,159,0.1462,LOW,P1-CC,compound_attack,0.1598,0.0876,0.2004,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:41,160,0.1512,LOW,P1-CC,compound_attack,0.1603,0.0876,0.2241,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:42,161,0.1481,LOW,P1-CC,compound_attack,0.1609,0.0877,0.2064,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:43,162,0.15,LOW,P1-CC,compound_attack,0.1616,0.0879,0.2139,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:03:44,163,0.1477,LOW,P1-CC,compound_attack,0.1623,0.0881,0.2005,P1_PCV02Z,x1001_05_SETPOINT_OUT,P1_PP04SP
2022-08-12 16:03:45,164,0.1496,LOW,P1-CC,compound_attack,0.1628,0.0883,0.2084,P1_PCV02Z,x1001_05_SETPOINT_OUT,P1_PP04SP
2022-08-12 16:03:47,166,0.1541,LOW,P1-CC,compound_attack,0.1628,0.0881,0.231,P1_PCV02Z,x1001_05_SETPOINT_OUT,P1_PP04SP
2022-08-12 16:03:48,167,0.1529,LOW,P1-CC,compound_attack,0.1633,0.088,0.2242,P1_PCV02Z,x1001_05_SETPOINT_OUT,P1_PP04SP
2022-08-12 16:03:49,168,0.1501,LOW,P1-CC,compound_attack,0.1641,0.088,0.2081,P1_PCV02Z,x1001_05_SETPOINT_OUT,P1_PP04SP
2022-08-12 16:04:40,219,0.1503,LOW,P1-CC,compound_attack,0.1272,0.1002,0.2835,P1_PCV02Z,P1_PP04SP,P4_ST_PS
2022-08-12 16:04:41,220,0.1562,LOW,P1-CC,compound_attack,0.1278,0.1004,0.3111,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:04:42,221,0.1584,LOW,P1-CC,compound_attack,0.1282,0.1007,0.3204,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:04:43,222,0.15,LOW,P1-CC,compound_attack,0.1291,0.1011,0.2754,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:04:46,225,0.1639,LOW,P1-LC,CV_injection_with_PV_spoofing,0.1347,0.1048,0.3256,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
2022-08-12 16:04:47,226,0.1679,LOW,P1-LC,CV_injection_with_PV_spoofing,0.1373,0.1068,0.3362,P1_PCV02Z,P1_PP04SP,x1001_05_SETPOINT_OUT
